# Ce fichier contient l'ensemble des dialogues de l'aventure.
# Les dialogues du moteur de jeu sont dans le fichier text/engine_dialogs.zsd,
# ainsi que la spécification de la syntaxe de ces deux fichiers.

[demo_finished]
# Lorsqu'on vient de finir le donjon 1
#       |-----------------------|
line1 = "Herzlichen Glückwunsch!"
line2 = "Sie haben die Demo des"
line3 = "Spiels beendet. Wir"
next = demo_finished.2

[demo_finished.2]
#       |-----------------------|
line1 = "hoffen, Sie hatten viel"
line2 = "Spaß. Alle Infos und"
line3 = "Termine zum kompletten"
next = demo_finished.3

[demo_finished.3]
#       |-----------------------|
line1 = "Spiel können Sie unter"
line2 = "www.zelda-solarus.com"
line3 = "(Seite auf Französisch)"
next = demo_finished.4

[demo_finished.4]
#       |-----------------------|
line1 = "nachlesen."
line2 = "Danke für Ihr Interesse"
line3 = "und bis bald!"

[outside_world.not_in_demo]
# Lorsqu'on tente d'entrer dans une grotte pas encore faite dans la démo
#       |-----------------------|
line1 = "Dieser Ort steht noch"
line2 = "nicht zur Verfügung!"
cancel = current

[outside_world.dungeon_2_entrance.monkey]
# Dialogue avec le singe après avoir fini le donjon 1
#       |-----------------------|
line1 = "Tut mir Leid, aber die"
line2 = "Fortsetzung steht noch"
line3 = "nicht zur Verfügung."

[chest.not_in_demo]
# Lorsqu'on tente d'ouvrir le coffre qui contiendra l'arc, non disponible dans la démo
#       |-----------------------|
line1 = "Dieser Schatz steht in"
line2 = "der Demo nicht zur"
line3 = "Verfügung."
cancel = current

[dungeon_1]
# Lorsqu'on pénètre dans le donjon 1
#       |-----------------------|
line1 = "        1. Stock       "
line2 = "       Waldgrotte      "

[intro0]
# Intro : écran noir
#       |-----------------------|
line1 = "$2Alte Legenden"
line2 = "erzählen von einem"
line3 = "wundersamen Königreich"
next = intro0.2

[intro0.2]
#       |-----------------------|
line1 = "namens Hyrule."
next = intro0.3

[intro0.3]
#       |-----------------------|
line1 = "Das Land gedieh unter"
line2 = "dem Schutz der drei"
line3 = "Göttinnen, die es in"
next = intro0.4

[intro0.4]
#       |-----------------------|
line1 = "vergessenen Zeiten"
line2 = "erschaffen hatten."
next = intro0.5

[intro0.5]
#       |-----------------------|
line1 = "Das Triforce, Reliquie"
line2 = "der drei Göttinnen, war"
line3 = "ein Symbol unendlicher"
next = intro0.6

[intro0.6]
#       |-----------------------|
line1 = "Macht, das bei vielen"
line2 = "Gier und Begehren"
line3 = "hervorrief."
next = intro0.7

[intro0.7]
#       |-----------------------|
line1 = "Sieben Weise verbargen"
line2 = "das Triforce im"
line3 = "Goldenen Land, dem"
next = intro0.8

[intro0.8]
#       |-----------------------|
line1 = "utopischen Spiegelbild"
line2 = "der Welt. Und die Jahr-"
line3 = "hunderte verstrichen..."

[intro1]
# Intro : fresque 1
#       |-----------------------|
line1 = "$2Viele Generationen"
line2 = "später wurde Hyrule von"
line3 = "einem Unheil bedroht."
next = intro1.2

[intro1.2]
#       |-----------------------|
line1 = "Schatten begannen,"
line2 = "das Reich zu bedecken."
line3 = "Jedoch erschien ein"
next = intro1.3

[intro1.3]
#       |-----------------------|
line1 = "geheimnisvoller Hexer"
line2 = "namens Agahnim, der"
line3 = "dank seiner Zauber"
next = intro1.4

[intro1.4]
#       |-----------------------|
line1 = "das Land von dem Übel"
line2 = "befreite. Das Volk"
line3 = "bejubelte ihn und der"
next = intro1.5

[intro1.5]
#       |-----------------------|
line1 = "König vertraute ihm ein"
line2 = "hohes Amt an. In Wahr-"
line3 = "heit jedoch schmiedete"
next = intro1.6

[intro1.6]
#       |-----------------------|
line1 = "der Hexer böse Pläne"
line2 = "gegen die königliche"
line3 = "Familie und wollte den"
next = intro1.7

[intro1.7]
#       |-----------------------|
line1 = "Räuberkönig Ganondorf"
line2 = "aus einer dunklen"
line3 = "Zeit heraufbeschwören."

[intro2]
# Intro : fresque 2
#       |-----------------------|
line1 = "$2Es heißt, ein junger"
line2 = "Mann in grünen Kleidern"
line3 = "durchreiste das gesamte"
next = intro2.2

[intro2.2]
#       |-----------------------|
line1 = "Königreich, erforschte"
line2 = "verlorene Tempel,"
line3 = "erklomm höchste Gipfel,"
next = intro2.3

[intro2.3]
#       |-----------------------|
line1 = "und durchquerte neblige"
line2 = "Täler, um das Böse"
line3 = "niederzustrecken."

[intro3]
# Intro : fresque 3
#       |-----------------------|
line1 = "$2Der, den man den"
line2 = "Helden nannte, konnte"
line3 = "schließlich das Unheil"
next = intro3.2

[intro3.2]
#       |-----------------------|
line1 = "zurückdrängen. Dank"
line2 = "seines Mutes, besiegte"
line3 = "er Ganondorf, der sich"
next = intro3.3

[intro3.3]
#       |-----------------------|
line1 = "in einer gewaltigen"
line2 = "Pyramide niedergelassen"
line3 = "hatte, mitten im"
next = intro3.4

[intro3.4]
#       |-----------------------|
line1 = "Goldenen Land, das"
line2 = "nunmehr ein Reich der"
line3 = "Schatten geworden war."

[intro4]
# Intro : fresque 4
#       |-----------------------|
line1 = "$2Der junge Held sprach"
line2 = "den Wunsch aus,"
line3 = "Ganondorf auf ewig ins"
next = intro4.2

[intro4.2]
#       |-----------------------|
line1 = "Reich der Schatten zu" 
line2 = "sperren. Der König von"
line3 = "Hyrule, ein Nachfahre"
next = intro4.3

[intro4.3]
#       |-----------------------|
line1 = "der sieben Weisen,"
line2 = "beschwor also die Macht"
line3 = "des Siegels. Das war"
next = intro4.4

[intro4.4]
#       |-----------------------|
line1 = "das Ende des bösen"
line2 = "Ganondorf, der nun"
line3 = "gefangen war in dem"
next = intro4.5

[intro4.5]
#       |-----------------------|
line1 = "unheilvollen Bildnis"
line2 = "der Welt, das er selbst"
line3 = "erschaffen hatte."

[intro5]
# Intro : fresque 5
#       |-----------------------|
line1 = "$2Doch einige Jahre"
line2 = "später befiel den"
line3 = "König Hyrules ein"
next = intro5.2

[intro5.2]
#       |-----------------------|
line1 = "seltsames Übel. Ärzte"
line2 = "aus dem gesamten Land"
line3 = "setzten ihr Wissen"
next = intro5.3

[intro5.3]
#       |-----------------------|
line1 = "ein, um ihn zu heilen,"
line2 = "jedoch vergeblich..."
line3 = "Der Tod des Königs war"
next = intro5.4

[intro5.4]
#       |-----------------------|
line1 = "folgenschwer und ganz"
line2 = "Hyrule versank in"
line3 = "Trauer. Darüber hinaus"
next = intro5.5

[intro5.5]
#       |-----------------------|
line1 = "führte der vorzeitige"
line2 = "Tod des Herrschers auch"
line3 = "zum Verschwinden seiner"
next = intro5.6

[intro5.6]
#       |-----------------------|
line1 = "Macht. Das Siegel der"
line2 = "Sieben Weisen wurde"
line3 = "schwächer."

[intro6]
# Intro : fresque 6
#       |-----------------------|
line1 = "$2Der Held folgte den"
line2 = "Ratschlägen seines "
line3 = "Lehrers Sahasrahla und"
next = intro6.2

[intro6.2]
#       |-----------------------|
line1 = "wollte sicherstellen,"
line2 = "dass niemand sich"
line3 = "jemals des Triforce"
next = intro6.3

[intro6.3]
#       |-----------------------|
line1 = "bemächtigen könnte. Er"
line2 = "vertraute die Reliquie"
line3 = "Zelda an, der Erbin der"
next = intro6.5

[intro6.5]
#       |-----------------------|
line1 = "königlichen Macht."
line2 = "Zelda vereinte ihre"
line3 = "Kräfte mit denen von"
next = intro6.6

[intro6.6]
#       |-----------------------|
line1 = "acht geheimnisvollen"
line2 = "Kindern, um das"
line3 = "Triforce in acht Teile"
next = intro6.7

[intro6.7]
#       |-----------------------|
line1 = "zu spalten. Die acht"
line2 = "Kinder übernahmen die"
line3 = "Aufgabe, die acht Teile"
next = intro6.8

[intro6.8]
#       |-----------------------|
line1 = "an Orten im ganzen Land"
line2 = "zu verstecken. Vorher"
line3 = "jedoch erschufen sie"
next = intro6.9

[intro6.9]
#       |-----------------------|
line1 = "als letzten Schutz das"
line2 = "Amulett von Solarus."
line3 = "Dieser Anhänger erlaubt"
next = intro6.10

[intro6.10]
#       |-----------------------|
line1 = "seinem Träger, die acht"
line2 = "Teile des Triforce"
line3 = "zusammenzufügen."
next = intro6.11

[intro6.11]
#       |-----------------------|
line1 = "Nach diesen Ereignissen"
line2 = "kehrten der Held und"
