# Ce fichier comporte l'ensemble des messages affichés
# par le moteur de jeu en version française.
# Les messages affichés par les maps sont quant à eux
# définis dans le fichier text/game_dialogs.zsd.

####################################################################################
#             Syntaxe des fichiers text/engine_dialogs.zsd et text/game_dialogs.zsd
#
# La syntaxe est similaire à celle d'un fichier ini de Windows.
# Les lignes commençant par le caractère '#' sont des commentaires
# et sont ignorés par le jeu.
# Un message est défini par les éléments suivants :
#
# - Un identificateur entre crochets.
# Les messages du moteur de jeu (donc tous ceux dans ce fichier)
# ont toujours un identificateur qui commence par le caractère '_'.
# L'identificateur permet au jeu de faire référence au message qu'il
# souhaite l'afficher. Les identificateurs ne doivent pas être traduits.
#
# - Les valeurs line1, line2 et line3 : définissent le contenu du
# message, sur une à trois lignes. Le texte de chaque ligne
# doit être mis entre guillemets. Une ligne ne doit pas
# dépasser 23 caractères. Lors de la traduction, ce sont ces lignes
# qu'il faut traduire.
#
# - La valeur next : donne l'identificateur du prochain message
# à afficher. Si cette valeur n'est pas définie, cela signifie
# que ce message était le dernier de la série et la boîte de 
# dialogue va se fermer une fois qu'il sera terminé.
# Si la valeur next existe, alors une flèche s'affiche en bas du message courant,
# indiquant que ce message va être suivi d'un autre.
# Si la valeur next n'existe pas, alors la flèche est remplacée par un carré
# indiquant que c'était le dernier message de la série.
# Un message contenant une question est toujours affiché avec une flèche.
# Il peut arriver que bien qu'une série se termine, on souhaite afficher une flèche.
# C'est le cas en particulier lorsqu'on sait qu'elle sera immédiatement suivie
# par une nouvelle série mais qu'on ne sait pas encore laquelle (cela peut dépendre
# de la quête). Dans ce cas, on utilise la valeur spéciale "_unknown"
# afin d'indiquer que la série va être suivie d'une autre série, pour l'instant indéterminée.
# Cela a pour seul effet d'afficher la flèche au lieu du carré,
# mais ensuite tout se passe comme si aucune valeur next n'était définie. 
#
# - Par convention, lorsqu'un texte est trop long pour tenir
# dans un seul message, la suite est dans un ou plusieurs messages
# dont l'identificateur est le même auquel on ajoute ".2", puis
# ".3", etc. Lors de la traduction, on peut ainsi faire tenir
# le texte dans un nombre différent de messages sans avoir
# de problèmes d'identificateurs. Seul le premier message
# de la série doit avoir exactement le même identificateur que
# dans la version française. Si le dernier message de la série
# se termine par ".4" au
# lieu de ".3" parce que la traduction ne tenait pas dans le même
# nombre de messages, cela fonctionne sans problème.
# C'est sur tous les messages autres que ceux finissant par
# ".2", ".3", etc, qu'il faut bien se synchroniser.
#
# - La valeur cancel : définit ce qui se passe lorsque le joueur
# tente d'interrompre le message en appuyant sur la touche C. Il y a
# 3 valeurs possibles :
#    - none (par défaut) : le message ne peut pas être passé.
#    - current : si on appuie sur C, le message courant s'affiche
#                immédiatement en entier (au lieu de défiler lettre par lettre).
#                On peut ainsi passer plus vite au message suivant.
#    - all : si on appuie sur C, le message courant s'arrête
#            et les messages suivants ne seront pas affichés. La
#            boîte de dialogue se ferme immédiatement.
# La valeur de cancel s'applique au message courant et à tous les
# messages suivants, jusqu'à ce que la valeur soit changée ou que
# la boîte de dialogue se ferme.
#
# - La valeur icon : permet d'afficher une icône de 16*16 pixels dans le message.
# La valeur est un numéro qui permet d'identifier l'icône dans
# le fichier image des icônes. L'icône s'affiche à gauche du texte
# et le texte ne doit pas dépasser 20 caractères (au lieu de 23 en
# temps normal). Elle reste affichée dans les messages suivants,
# jusqu'à ce que sa valeur soit changée ou que la boîte de dialogue
# se ferme. Une valeur -1 signifie d'enlever l'icône.
# Les icônes sont surtout utilisées dans les messages du moteur de
# jeu, par exemple lorsque le joueur obtient un trésor.
#
# - La valeur question : permet d'afficher une question avec deux
# réponses au choix. La première ligne est la question
# et les deux dernières lignes sont les deux réponses possibles.
# Ces deux lignes sont alors limitées à 20
# caractères (au lieu de 23 en temps normal) car un curseur en
# forme de flèche permet au joueur de choisir sa réponse. Il est
# possible d'avoir à la fois une icône et une question, dans ce cas
# le nombre de caractères des lignes de réponse se limite à 17.
# S'il y a une question, il est possible de spécifier une valeur
# next2. Si la première réponse est choisie, le prochain message
# affiché est indiqué par next. Si la deuxième réponse est choisie,
# il est alors indiqué par next2. Comme pour la valeur next,
# si next2 n'est pas spécifié et que le joueur choisit la réponse 2,
# la série de messages s'arrête et la boîte de dialogue se ferme.
#
# - Enfin, il existe des séquences particulières que l'on peut
# insérer dans le texte d'un message :
#    - $0 : fait une pause d'une seconde dans le défilement du message.
#    - $1 : met une vitesse de défilement lente
#    - $2 : met une vitesse de défilement moyenne
#    - $3 : met une vitesse de déliement rapide (par défaut)
#    - $v : permet d'insérer la valeur d'une variable dans le texte
#           du message (la valeur est alors spécifiée dans
#           le programme qui a demandé l'affichage du message)
#
#
# - Les commentaires suivants permettent de vérifier le nombre
# limite de caractères dans un message :
#
#       |-----------------------| sans icône ni question (23)
#       |--------------------|    avec icône ou question (20)
#       |-----------------|       avec icône et question (17)
####################################################################################


# -------------------------------------
# Description des items de l'inventaire
# -------------------------------------
# 
# Les messages ci-dessous sont affichés dans l'écran d'inventaire
# lorsque le joueur souhaite afficher la description d'un item
# qu'il possède. Ces messages peuvent être annulés en appuyant
# sur C.
# L'identificateur de chacun de ces messages est de la forme _item_description_i_x
# où i est le numéro de l'item (de 0 à 27) et x est la variante de cet
# item possédée par le joueur.
# Exception : les items 13, 20 et 27 ne sont pas définis car il s'agit des Flacons 2, 3 et 4,
# et ces derniers se contentent de faire appel aux messages définis pour le Flacon 1 (item n°6).

[_item_description_0_1]
# Plume / Feather
#       |--------------------|
icon = 0
line1 = "Gebruik de Veer om"
line2 = "te springen en"
line3 = "obstakels te"
next = _item_description_0_1.1

[_item_description_0_1.1]
#       |--------------------|
line1 = "overschrijden."

[_item_description_1_1]
# Bombes / Bombs
#       |--------------------|
icon = 1
line1 = "Gebruik Bommen tegen"
line2 = "vijanden of om"
line3 = "obstakels te laten"
cancel = all
next = _item_description_1_1.1

[_item_description_1_1.1]
#       |--------------------|
line1 = "ontploffen."

[_item_description_2_1]
# Arc / Bow
#       |--------------------|
icon = 2
line1 = "Je hebt geen Pijlen"
line2 = "meer!"
cancel = all

[_item_description_2_2]
# Arc & Flèches / Bow & Arrows
#       |--------------------|
icon = 3
line1 = "Schiet Pijlen om"
line2 = "taaie vijanden te"
line3 = "overwinnen."
cancel = all

[_item_description_3_1]
# Boomerang
#       |--------------------|
icon = 4
line1 = "Gebruik de Boemerang"
line2 = "om vijanden"
line3 = "onbeweeglijk te"
cancel = all
next = _item_description_3_1.1

[_item_description_3_1.1]
#       |--------------------|
line1 = "maken of op afstand"
line2 = "voorwerpen te" 
line3 = "vangen."

[_item_description_4_1]
# Lanterne / Lamp
#       |--------------------|
icon = 5
line1 = "Bijlicht je in de"
line2 = "duisternis of steek"
line3 = "vuurpotten aan met"
cancel = all
next = _item_description_4_1.1

[_item_description_4_1.1]
#       |--------------------|
line1 = "de Lantaarn. Maar"
line2 = "hou toezicht over je"
line3 = "magiemeter!"

[_item_description_5_1]
# Grappin / Hook Shot
#       |--------------------|
icon = 6
line1 = "Hijs je naar"
line2 = "onbereikbare"
line3 = "plaatsen dankzij de"
cancel = all
next = _item_description_5_1.1

[_item_description_5_1.1]
#       |--------------------|
line1 = "Enterhaak."

[_item_description_6_1]
# Flacon Magique vide / Empty bottle
#       |--------------------|
icon = 7
line1 = "De Magische Flacon"
line2 = "kan diverse"
line3 = "stoffen bevatten..."
cancel = all

[_item_description_6_2]
# Eau dans Flacon / Water in Bottle
#       |--------------------|
icon = 8
line1 = "Jouw Magische Flacon"
line2 = "bevat water."
cancel = all
next = _item_description_6_2.1

[_item_description_6_2.1]
#       |--------------------|
line1 = "Schenk die in een"
line2 = "geschikte plaats..."

[_item_description_6_3]
# Potion rouge / Red potion
#       |--------------------|
icon = 9
line1 = "Drink rood Drankje"
line2 = "om al je Harten"
line3 = "terug te vinden."
cancel = all

[_item_description_6_4]
# Potion verte / Red potion
#       |--------------------|
icon = 10
line1 = "Drink groen Drankje"
line2 = "om al je magie"
line3 = "terug te vinden."
cancel = all

[_item_description_6_5]
# Potion bleue / Red potion
#       |--------------------|
icon = 11
line1 = "Drink blauw Drankje"
line2 = "om leven en magie"
line3 = "terug te vinden!"
cancel = all

[_item_description_6_6]
# Fée dans Flacon / Fairy in Bottle
#       |--------------------|
icon = 12
line1 = "Die Elf zal je"
line2 = "helpen als je"
line3 = "moieilijkheden hebt."
next = _item_description_6_6.1
cancel = all

[_item_description_6_6.1]
#       |--------------------|
line1 = "Je kan die ook op"
line2 = "elk moment gebruiken"
line3 = "om Harten terug te"
next = _item_description_6_6.2

[_item_description_6_6.2]
#       |--------------------|
line1 = "winnen."

[_item_description_7_1]
# Bottes de Pégase / Pegasus Shoes
#       |--------------------|
icon = 13
line1 = "Ren heel snel en"
line2 = "verbrijzel obstakels"
line3 = "dankzij de Pegasus"
cancel = all
next = _item_description_7_1.1

[_item_description_7_1.1]
#       |--------------------|
line1 = "Laarzen!"

[_item_description_8_1]
# Miroir Mystique / Mystic Mirror
#       |--------------------|
icon = 14
line1 = "De Mystiek Spiegel"
line2 = "zou geheimzinnige"
line3 = "machten hebben..."
cancel = all

[_item_description_9_1]
# Canne de Somaria / Cane of Somaria
#       |--------------------|
icon = 15
line1 = "Schep blokjes en"
line2 = "haak je eraan met"
line3 = "de Enterhaak."
cancel = all
next = _warning_magic

[_item_description_10_1]
# Pommes / Apples
#       |--------------------|
icon = 16
line1 = "Eet Appels om Harten"
line2 = "terug te krijgen."
cancel = all

[_item_description_11_1]
# Pains au Chocolat / Pains au Chocolat
#       |--------------------|
icon = 17
line1 = "Eet een Chocolade"
line2 = "Broodje om 3 Harten"
line3 = "terug te krijgen."
cancel = all

[_item_description_12_1]
# Croissant / Croissant
#       |--------------------|
icon = 18
line1 = "Eet een Croissant om"
line2 = "7 Harten terug te"
line3 = "krijgen."
cancel = all

[_item_description_14_1]
# Clé de Roc / Rock Key
#       |--------------------|
icon = 19
line1 = "De Rotssleutel. Maar"
line2 = "waar is toch de"
line3 = "gepaste slot?"
cancel = all

[_item_description_15_1]
# Clé Rouge / Red Key
#       |--------------------|
icon = 20
line1 = "Die vreemde sleutel"
line2 = "is heel rood."
cancel = all

[_item_description_16_1]
# Clé de Terre / Clay Key
#       |--------------------|
icon = 21
line1 = "De Aardesleutel, die"
line2 = "opent de grot"
line3 = "van de dorp."
cancel = all

[_item_description_17_1]
# Tarte aux Pommes / Apple Pie
#       |--------------------|
icon = 22
line1 = "Die Appeltaart heeft"
line2 = "een vreemde"
line3 = "aanblik..."
cancel = all

[_item_description_17_2]
# Lingots d'or / Golden bars
#       |--------------------|
icon = 23
line1 = "Het zijn drie"
line2 = "authentieke"
line3 = "goud lingots!"
cancel = all

[_item_description_17_3]
# Edelweiss / Edelweiss
#       |--------------------|
icon = 24
line1 = "Het Edelweiss is een"
line2 = "heel zeldzame bloem" fleur très rare dans"
